Time,Smile,AU04,AU02,AU15,Trackerfail,AU18,AU09,negAU12,AU10,Expressive,Unilateral_LAU12,Unilateral_RAU12,AU14,Unilateral_LAU14,Unilateral_RAU14,AU05,AU17,AU26,Forward,Backward
25.9,0,0,33.333,0,80,0,0,0,0,0,0,0,0,0,0,0,0,33.333,0,0
26.2,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,33.333,0,0
26.3,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,33.333,0,0
26.7,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,33.333,0,0
27.4,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28.4,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29.4,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31.3,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32.4,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48.2,0,0,0,0,80,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0
49,0,0,0,0,80,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0
49.2,0,0,0,0,80,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0
49.8,1,0,0,0,80,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0
56.9,1,0,0,0,80,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0
57.5,0,0,0,0,80,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0
58.7,0,0,0,0,80,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0
59.1,0,0,0,0,80,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0
61.1,0,0,0,0,60,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0
61.6,0,0,0,0,40,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0
61.8,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62.1,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,33.333,0,0,0,0,0,0,0,0,0,0
1.1,0,25,0,0,0,0,0,0,0,33.333,0,0,0,0,0,0,0,0,0,0
3.3,0,0,0,0,0,0,0,0,0,33.333,0,0,0,0,0,0,0,0,0,0
5.4,0,0,0,0,33.333,0,0,0,0,33.333,0,0,0,0,0,0,0,0,0,0
5.5,0,0,0,0,66.667,0,0,0,0,33.333,0,0,0,0,0,0,0,0,0,0
9.8,0,0,0,0,100,0,0,0,0,33.333,0,0,0,0,0,0,0,0,0,0
49.4,0,0,0,0,100,0,0,0,0,66.667,0,0,0,0,0,0,0,0,0,0
54,0,0,0,0,100,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0
54.5,0,0,0,0,100,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0
54.7,1,0,0,0,100,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0
56,1,0,0,0,100,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0
60.9,1,0,0,0,66.667,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0
62.3,1,0,0,0,33.333,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0
62.4,0,0,0,0,33.333,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.7
1.3,0,0,0,0,33.333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.7
1.4,0,0,0,0,66.667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.7
2,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.7
3.7,0,0,0,0,66.667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.7
10.3,0,0,0,0,33.333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.7
13.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.7
50.1,0,0,0,0,0,0,0,0,0,33.333,0,0,0,0,0,0,0,0,0,7.7
50.9,0,0,0,0,0,0,0,0,0,66.667,0,0,0,0,0,0,0,0,0,7.7
0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.9,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.8,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.4,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13.7,0,0,0,0,25,0,0,0,0,0,0,0,0,33.333,0,0,0,0,0,0
14,0,0,0,0,25,0,0,0,0,33.333,25,0,0,33.333,0,0,0,0,0,0
14.5,0,0,0,0,25,0,0,0,0,33.333,50,0,0,33.333,0,0,0,0,0,0
15,0,0,0,0,50,0,0,0,0,33.333,50,0,0,66.667,0,0,0,0,0,0
16,0,0,0,0,50,0,0,0,0,66.667,50,0,0,66.667,0,0,0,0,0,0
17.6,0,0,0,0,50,0,0,0,0,66.667,50,0,0,33.333,0,0,0,0,0,0
19.8,0,0,0,0,25,0,0,0,0,66.667,50,0,0,33.333,0,0,0,0,0,0
19.9,0,0,0,0,25,0,0,0,0,66.667,50,0,0,33.333,0,0,0,0,0,0
20.1,0,0,0,0,25,0,0,0,0,66.667,25,0,0,33.333,0,0,0,0,0,0
20.2,0,0,0,0,25,0,0,0,0,33.333,25,0,0,33.333,0,0,0,0,0,0
20.4,0,0,0,0,25,0,0,0,0,33.333,25,0,0,0,0,0,0,0,0,0
20.8,0,0,0,0,25,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0
21.6,0,0,0,0,25,0,0,0,0,0,25,0,0,0,0,20,0,0,0,0
22.7,0,0,0,0,25,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0
23.4,0,0,0,0,25,0,0,0,0,0,25,0,0,0,0,20,0,0,0,0
23.9,0,0,0,0,25,0,0,0,0,0,25,0,0,0,0,40,0,0,0,0
25.2,0,0,0,0,25,0,0,0,0,0,25,0,0,0,0,20,0,0,0,0
25.5,0,0,0,0,25,0,0,0,0,0,25,0,0,0,0,40,0,0,0,0
25.7,0,0,0,0,25,0,0,0,0,0,25,0,0,0,0,60,0,0,0,0
25.8,0,0,0,0,25,0,0,0,0,33.333,25,0,0,0,0,60,0,0,0,0
26.1,0,0,0,0,25,0,0,0,0,33.333,0,0,0,0,0,60,0,0,0,0
26.4,0,0,0,0,25,0,0,0,0,33.333,0,0,0,0,0,40,0,0,0,0
26.7,0,0,0,0,25,0,0,0,0,33.333,0,0,0,0,0,20,0,0,0,0
26.9,0,0,0,0,25,0,0,0,0,33.333,0,0,0,0,0,0,0,0,0,0
27.3,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,0,0,0,0,25,0,0,0,0,33.333,0,0,0,0,0,0,0,0,0,0
28.1,0,0,0,0,25,0,0,0,0,66.667,0,0,0,0,0,0,0,16.667,0,0
28.3,1,0,0,0,25,0,0,0,0,66.667,0,0,0,0,0,0,0,16.667,0,0
28.6,1,0,0,0,25,0,0,0,0,100,0,0,0,0,0,0,0,16.667,0,0
28.8,1,0,0,0,25,0,0,0,0,100,0,0,0,0,0,0,0,16.667,0,25
29,1,0,0,0,25,0,0,0,0,100,0,0,0,0,0,0,0,16.667,0,50
29.2,1,0,0,0,25,0,0,0,0,100,0,0,0,0,0,0,0,0,0,50
29.4,1,0,0,0,25,0,0,0,0,100,0,0,0,0,0,0,0,0,0,75
29.5,1,0,0,0,25,0,0,0,0,100,0,0,0,0,0,0,0,0,0,50
30.5,1,0,0,0,25,0,0,0,0,100,0,0,0,0,0,0,0,0,0,25
30.8,1,0,0,0,25,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0
30.9,1,0,0,0,25,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0
31,1,0,0,0,0,0,0,0,0,66.667,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
1.6,0,0,0,0,0,0,0,0,0,33.333,0,0,0,0,0,0,0,0,0,100
4.2,0,0,0,0,0,0,0,0,0,66.667,0,0,0,0,0,0,0,0,0,100
4.4,0,0,0,0,0,0,0,0,0,66.667,0,0,0,0,0,0,0,0,0,100
5.2,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,100
6.6,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,100
6.7,0,0,0,0,33.333,0,0,0,0,100,0,0,0,0,0,0,0,0,0,100
6.8,0,0,0,0,33.333,0,0,0,0,100,0,0,0,0,0,0,0,0,66.667,100
7.8,0,0,0,0,33.333,0,0,0,0,100,0,0,0,0,0,0,0,0,0,100
8,0,0,0,0,33.333,0,0,0,0,100,0,0,0,0,0,0,0,0,33.333,100
8.1,0,0,0,0,33.333,0,0,0,0,100,0,0,0,0,0,0,0,0,0,100
8.9,1,0,0,0,33.333,0,0,0,0,100,0,0,0,0,0,0,0,0,0,100
9,1,0,0,0,33.333,0,0,0,0,100,0,0,0,0,0,0,0,0,0,100
9.3,1,0,0,0,33.333,0,0,0,0,100,0,0,0,0,0,0,0,0,0,100
14.4,1,0,0,0,33.333,0,0,0,0,100,0,0,0,0,0,0,0,0,0,100
14.8,1,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,100
15.4,1,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,100
16,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,100
18.2,1,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,100
18.3,1,0,0,0,33.333,0,0,0,0,100,0,0,0,0,0,0,0,0,0,100
18.6,1,0,0,0,33.333,0,0,0,0,100,0,0,0,0,0,0,0,0,0,100
19.2,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,100
19.9,0,0,0,0,0,0,0,0,0,66.667,0,0,0,0,0,0,0,0,0,100
26.1,0,0,0,0,0,0,0,0,0,66.667,0,0,0,0,0,0,0,0,0,100
28,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,100
28.4,1,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,100
28.5,1,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,100
30.1,1,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,33.333,100
30.3,1,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,66.667,100
30.8,1,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,33.333,100
30.9,1,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,100
32,1,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,100
32.4,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,100
32.7,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,100
33.4,0,0,0,0,0,0,0,0,0,66.667,0,0,0,0,0,0,0,0,0,100
34,0,0,0,0,0,0,0,0,0,66.667,0,0,0,0,0,0,20,0,0,100
34.1,0,0,0,0,0,0,0,0,0,66.667,0,0,0,0,0,0,0,0,0,100
38.7,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,100
38.8,1,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,100
40.3,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,100
40.9,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,100
43.4,0,0,0,0,0,0,0,0,0,66.667,0,0,0,0,0,0,0,0,0,100
44,0,0,0,0,0,0,0,0,0,66.667,0,0,0,0,0,0,20,0,0,100
44.1,0,0,0,0,0,0,0,0,0,66.667,0,0,0,0,0,0,0,0,0,100
48.9,1,0,0,0,0,0,0,0,0,66.667,0,0,0,0,0,0,0,0,0,100
49,1,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,100
49.4,1,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,33.333,100
49.7,1,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,100
50,1,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,100
50.3,1,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,100
60.3,1,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,100
60.5,1,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,100
61,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,100
62,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,20,0,0,100
62.1,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,100
62.5,0,0,0,0,0,0,0,0,0,66.667,0,0,0,0,0,0,0,0,0,100
0,0,0,0,0,0,0,0,0,0,33.333,0,0,0,0,0,0,0,0,0,100
0.3,0,0,0,0,0,0,0,0,0,33.333,0,0,0,0,0,0,0,0,0,100
0.4,0,0,0,0,0,0,0,0,0,33.333,0,0,0,0,0,0,0,0,0,100
13.8,0,0,0,0,0,0,0,0,0,66.667,0,0,0,0,0,0,0,0,0,100
13.9,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,100
14,1,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,100
14.4,1,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,100
15,1,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,100
16.3,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,100
16.7,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,100
18.6,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,100
18.9,0,0,0,0,25,0,0,0,0,100,0,0,0,0,0,0,0,0,0,100
20,0,0,0,0,25,0,0,0,0,100,0,0,0,0,0,0,0,0,0,100
21.2,0,0,0,0,50,0,0,0,0,100,0,0,0,0,0,0,0,0,0,100
24.6,0,0,0,0,50,0,0,0,0,100,0,0,0,0,0,0,0,0,0,100
25,1,0,0,0,50,0,0,0,0,100,0,0,0,0,0,0,0,0,0,100
25.1,1,0,0,0,50,0,0,0,0,100,0,0,0,0,0,0,0,0,0,100
25.4,1,0,0,0,25,0,0,0,0,100,0,0,0,0,0,0,0,0,0,100
25.5,1,0,0,0,25,0,0,0,0,100,0,0,0,0,0,0,0,0,0,100
26.2,0,0,0,0,25,0,0,0,0,100,0,0,0,0,0,0,0,0,0,100
27.1,0,0,0,0,25,0,0,0,0,100,0,0,0,0,0,0,0,0,0,100
30.8,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,100
0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.3
0.7,0,0,0,0,25,0,0,0,0,33.333,0,0,0,0,0,0,0,0,0,8.3
2.8,0,0,0,0,50,0,0,0,0,33.333,0,0,0,0,0,0,0,0,0,8.3
2.9,0,0,0,0,75,0,0,0,0,33.333,0,0,0,0,0,0,0,0,0,8.3
12,0,0,0,0,100,0,0,0,0,33.333,0,0,0,0,0,0,0,0,0,8.3
12.3,0,0,0,0,100,0,0,0,0,66.667,0,0,0,0,0,0,0,0,0,8.3
12.7,0,0,0,0,100,0,0,0,0,66.667,0,0,33.333,0,0,0,0,0,0,8.3
12.9,0,0,0,0,100,0,0,0,0,66.667,0,0,66.667,0,0,0,0,0,0,8.3
13,0,0,0,0,75,0,0,0,0,33.333,0,0,66.667,0,0,0,0,0,0,8.3
13.1,0,0,0,0,75,0,0,0,0,33.333,0,0,33.333,0,0,0,0,0,0,8.3
13.3,0,0,0,0,75,0,0,0,0,66.667,0,0,33.333,0,0,0,0,0,0,8.3
14,0,0,0,0,75,0,0,0,0,66.667,0,0,0,0,0,0,0,0,0,8.3
16,0,0,0,0,75,0,0,0,0,33.333,0,0,0,0,0,0,0,0,0,8.3
52.7,0,0,0,0,50,0,0,0,0,33.333,0,0,0,0,0,0,0,0,0,8.3
0,0,0,0,0,71.429,0,0,0,0,0,33.333,0,0,0,0,0,0,0,0,0
0.2,0,0,0,0,85.714,0,0,0,0,0,33.333,0,0,0,0,0,0,0,0,0
0.6,0,0,0,0,71.429,0,0,0,0,0,33.333,0,0,0,0,0,0,0,0,0
1.4,0,0,0,0,57.143,0,0,0,0,0,33.333,0,0,0,0,0,0,0,0,0
3.3,0,0,0,0,57.143,0,0,0,0,0,16.667,0,0,0,0,0,0,0,0,0
4.2,0,0,0,0,42.857,0,0,0,0,0,16.667,0,0,0,0,0,0,0,0,0
4.9,0,0,0,0,57.143,0,0,0,0,0,16.667,0,0,0,0,0,0,0,0,0
5.9,0,0,0,0,57.143,0,0,0,0,0,33.333,0,0,0,0,0,0,0,0,0
6.7,0,0,0,0,71.429,0,0,0,0,0,33.333,0,0,0,0,0,0,0,0,0
6.9,0,0,0,0,85.714,0,0,0,0,0,33.333,0,0,0,0,0,0,0,0,0
7.2,0,0,0,0,85.714,0,0,0,0,0,33.333,0,0,0,0,0,0,0,0,0
7.6,0,0,0,0,85.714,0,0,0,0,0,33.333,0,0,0,0,0,0,0,0,0
7.8,0,0,0,0,85.714,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0
8.7,0,0,0,0,71.429,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0
9,0,0,16.667,0,71.429,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0
9.5,0,0,33.333,0,71.429,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0
10,0,0,33.333,0,71.429,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0
10.2,0,0,33.333,0,71.429,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0
10.8,0,0,33.333,0,71.429,0,0,0,0,0,33.333,0,0,0,0,0,0,0,0,0
11.3,0,0,16.667,0,71.429,0,0,0,0,0,33.333,0,0,0,0,0,0,0,0,0
12.5,0,0,16.667,0,71.429,0,0,0,0,0,33.333,0,0,0,0,0,0,0,0,0
12.6,0,0,0,0,71.429,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0
12.9,0,0,0,0,71.429,0,0,0,0,0,66.667,0,0,0,0,0,0,0,0,0
13.1,0,0,0,0,71.429,0,0,0,0,0,66.667,0,0,0,0,0,0,0,33.333,0
13.5,0,0,16.667,0,71.429,0,0,0,0,0,66.667,0,0,0,0,0,0,0,33.333,0
13.6,0,0,16.667,0,71.429,0,0,0,0,0,83.333,0,0,0,0,0,0,0,66.667,0
14.5,0,0,16.667,0,71.429,0,0,0,0,0,83.333,0,0,0,0,0,0,0,66.667,0
14.6,0,0,16.667,0,71.429,0,0,0,0,0,66.667,0,0,0,0,0,0,0,66.667,0
15,0,0,16.667,0,71.429,0,0,0,0,0,66.667,0,0,0,0,0,0,0,33.333,0
15.2,0,0,16.667,0,57.143,0,0,0,0,0,66.667,0,0,0,0,0,0,0,33.333,0
15.4,0,0,16.667,0,57.143,0,0,0,0,0,66.667,0,0,0,0,0,0,0,0,0
15.7,0,0,0,0,57.143,0,0,0,0,0,66.667,0,0,0,0,0,0,0,0,0
16.4,0,0,0,0,42.857,0,0,0,0,0,66.667,0,0,0,0,0,0,0,0,0
17.8,0,0,0,0,57.143,0,0,0,0,0,66.667,0,0,0,0,0,0,0,0,0
18,0,0,0,0,57.143,0,0,0,0,0,83.333,0,0,0,0,0,0,0,0,0
18.1,1,0,0,0,57.143,0,0,0,0,0,83.333,0,0,0,0,0,0,0,0,0
18.2,1,0,0,0,57.143,0,0,0,0,0,83.333,0,0,0,0,0,0,0,0,0
18.7,1,0,0,0,57.143,0,0,0,0,0,83.333,0,0,0,0,0,0,0,0,0
19.4,1,0,0,0,42.857,0,0,0,0,0,83.333,0,0,0,0,0,0,0,0,0
20.8,1,0,0,0,28.571,0,0,0,0,0,83.333,0,0,0,0,0,0,0,0,0
23.4,1,16.667,0,0,28.571,0,0,0,0,0,83.333,0,0,0,0,0,0,0,0,0
23.9,1,16.667,16.667,0,28.571,0,0,0,0,0,83.333,0,0,0,0,0,0,0,0,0
24,1,33.333,16.667,0,28.571,0,0,0,0,0,83.333,0,0,0,0,0,0,0,0,0
24.1,1,16.667,16.667,0,28.571,0,0,0,0,0,83.333,0,0,0,0,0,0,0,0,0
24.2,1,16.667,16.667,0,42.857,0,0,0,0,0,83.333,0,0,0,0,0,0,0,0,0
24.3,1,16.667,33.333,0,42.857,0,0,0,0,0,83.333,0,0,0,0,0,0,0,0,33.333
24.5,1,16.667,50,0,42.857,0,0,0,0,0,83.333,0,0,0,0,0,0,0,0,33.333
24.9,1,0,66.667,0,42.857,0,0,0,0,0,83.333,0,0,0,0,0,0,0,0,33.333
25.1,1,0,66.667,0,28.571,0,0,0,0,0,83.333,0,0,0,0,0,0,0,0,33.333
26.5,1,0,50,0,28.571,0,0,0,0,0,83.333,0,0,0,0,0,0,0,0,33.333
26.6,1,0,33.333,0,28.571,0,0,0,0,0,83.333,0,0,0,0,0,0,0,0,33.333
26.7,1,0,16.667,0,28.571,0,0,0,0,0,83.333,0,0,0,0,0,0,0,0,33.333
27.6,1,0,16.667,0,28.571,0,0,0,0,0,83.333,0,0,0,0,0,0,0,0,33.333
27.9,1,0,0,0,28.571,0,0,0,0,0,83.333,0,0,0,0,0,0,0,0,33.333
28,1,0,0,0,28.571,0,0,0,0,0,83.333,0,0,0,0,0,0,0,0,0
28.3,1,0,0,0,28.571,0,0,0,0,0,83.333,0,0,0,0,0,0,0,0,0
29.4,1,16.667,0,0,28.571,0,0,0,0,0,83.333,0,0,0,0,0,0,0,0,0
32.6,1,0,0,0,28.571,0,0,0,0,0,83.333,0,0,0,0,0,0,0,0,0
33,1,16.667,0,0,28.571,0,0,0,0,0,83.333,0,0,0,0,0,0,0,0,0
33.2,1,33.333,0,0,28.571,0,0,0,0,0,83.333,0,0,0,0,0,0,0,0,0
33.3,0,33.333,0,0,28.571,0,0,0,0,0,83.333,0,0,0,0,0,0,0,0,0
33.4,0,16.667,0,0,28.571,0,0,0,0,0,83.333,0,0,0,0,0,0,0,0,0
34.1,0,33.333,0,0,28.571,0,0,0,0,0,66.667,0,0,0,0,0,0,0,0,0
34.2,0,16.667,0,0,28.571,0,0,0,0,0,66.667,0,0,0,0,0,0,0,0,0
34.9,0,0,0,0,28.571,0,0,0,0,0,66.667,0,0,0,0,0,0,0,0,0
36.2,0,0,0,0,28.571,0,0,0,0,0,66.667,0,0,0,0,0,0,0,0,33.333
36.3,0,0,0,0,28.571,0,0,0,0,0,83.333,0,0,0,0,0,0,0,0,33.333
